DateKey,Date,Year,Quarter,Month,Day,WeekdayName
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
10157855676615012239,2022-03-27,2022,1,3,27,Sunday
